Domain;Number;Data Collection Field;Variable Name;Definition;Case Report Form Completion Instructions;Additional Information for Sponsors;CDASH Core;SDTM Mapping;SDTM Term Code
CM;11;Dose Form;CMDOSFRM;"Name of the pharmaceutical dosage
form (e.g., tablets, capsules, syrup) of delivery for the drug.
{FRM}";"Record the pharmaceutical dosage form
(e.g., tablets, capsules, syrup) of delivery for the medication taken.";" We recognize that some drugs have
multiple forms and this field may be needed to code the drug to an ATC level. However,
in general, this level of detail should not be necessary except for medications of interest.";Optional;FRM;C66726
EX;13;Formulation;EXDOSFRM;"Dose form for EXTRT.
{FRM} ";"Record the formulation (e.g., solution, tablet,
lotion) or enter the appropriate code from the code list.";"Formulation of study treatment.
This must be collected if it can not be derived.
Variable must always be present in the underlying database.";"Recommended /
Conditional";FRM;C66726
DS;2;Subject Status;"DSDECOD
And
DSTERM";"Standardized Disposition Term
{NCOMPLT}
And
Reported term for the Disposition Event of the subject at a selected trial epoch
Record the subject’s status at <insert text corresponding to the selected trial epoch>. If the subject discontinued prematurely, record the primary reason for discontinuation";"Document the subject’s status at <insert
text corresponding to the selected trial epoch>. If the subject discontinued
prematurely, record the primary reason for
discontinuation.";" Controlled terminology is available for
 D SDECOD, and we strongly recommend that it be used (the current, approved
 cont rolled terminology list is under
 discussion for completeness, accuracy, and extensibility).
 T he Subject Status data collection field should be presented on the CRF as a check box linked to an item from the approved controlled terminology list (DSDECOD).
 For those companies that wish to collect sponsor- and/or study-specific reasons for discontinuation (DSTERM), we recommend that these reasons be pre-printed on the CRF, with check boxes for completion wherever possible, as sub-categories of the appropriate DSDECOD item. However, we recommend limiting the use of sponsor- and study- specific reasons in order to promote consistent use of terminology and hence permit the combination of data across multiple sponsors.
 In some circumstances (e.g. DSDECOD = “Withdrawal by subject” or “Other”), where additional information may be valuable but where it may not be possible to specify sub- categories explicitly, “specify” lines may be inserted next to the appropriate controlled terminology items to permit this information to be collected.
The controlled terminology list may be filtered to omit terms that are not applicable for a study or particular milestone.2";"Highly
Recommended";NCOMPLT;C66727
DS;2;Subject Status;"DSDECOD
And
DSTERM";"Standardized Disposition Term
{NCOMPLT}
And
Reported term for the Disposition Event of the subject at a selected trial epoch
Record the subject’s status at <insert text corresponding to the selected trial epoch>. If the subject discontinued prematurely, record the primary reason for discontinuation";"Document the subject’s status at <insert
text corresponding to the selected trial epoch>. If the subject discontinued
prematurely, record the primary reason for
discontinuation.";" C ontrolled terminology is available for
 D SDECOD, and we strongly recommend that it be used (the current, approved
 cont rolled terminology list is under
 di scussion for completeness, accuracy, and extensibility).
 T he Subject Status data collection field should be presented on the CRF as a check box linked to an item from the approved controlled terminology list (DSDECOD).
 For those companies that wish to collect sponsor- and/or study-specific reasons for discontinuation (DSTERM), we recommend that these reasons be pre-printed on the CRF, with check boxes for completion wherever possible, as sub-categories of the appropriate DSDECOD item. However, we recommend limiting the use of sponsor- and study- specific reasons in order to promote consistent use of terminology and hence permit the combination of data across multiple sponsors.
 In some circumstances (e.g. DSDECOD = “Withdrawal by subject” or “Other”), where additional information may be valuable but where it may not be possible to specify sub- categories explicitly, “specify” lines may be inserted next to the appropriate controlled terminology items to permit this information to be collected.
The controlled terminology list may be filtered to omit terms that are not applicable for a study or particular milestone.2";"Highly
Recommended";NCOMPLT;C66727
CM;13;Route;CMROUTE;"Identifies the route of administration of
the drug.
{ROUTE}";"Provide the route of administration for the
drug.";"This additional information may be
important to collect on the CRF when the sponsor would want to capture a medication’s route of administration for purposes such as coding and the medication may have more than one route. Some companies may use route in coding medications to be able to choose a precise preferred name and ATC code.";"Recommended/
Conditional";ROUTE;C66729
EX;12;Route;EXROUTE;"Route of administration for EXTRT.
{ROUTE} ";"Record the route of administration (e.g., IV,
oral or transdermal) or enter the appropriate code from the code list.";"Route of study treatment administration.
This will often be pre-printed on the CRF. This must be collected if it can not be pre- printed or derived from the protocol.";"Recommended /
Conditional";ROUTE;C66729
DM;5;Sex;SEX;"The assemblage of physical properties
or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female (NCI – CDISC Definition).
{SEX}";"Record the appropriate sex (e.g., female,
male).";"Collect the subject’s sex or gender, as
reported by subject or caretaker. This is the self-reported sex of the individual and/or is the clinician’s assignment based on a physical examination. This is a phenotypic assessment and a genotypic assessment (see Section 5.6.2 Collecting Sex, Ethnicity and Race).";"Highly
Recommended";SEX;C66731
AE;1;"Were any Adverse
Events experienced?";AEYN;"General prompt question regarding
whether or not any AEs were experienced during the study. This
provides verification that all other fields
on the CRF were deliberately left blank.


{NY} ";"Indicate if the subject experienced any
adverse events. If yes, include the appropriate details where indicated on the
CRF.";"The intent/purpose of collecting this field is
to help with data cleaning and monitoring. It provides verification that all other fields
on the CRF were deliberately left blank.
Note: AEYN will not be included as part of the SDTMIG AE Domain for submission.";Optional;NY;C66742
AE;8;Ongoing;AEONGO;"Indicates AE is ongoing when no End
Date is provided.
{NY} ";"Check the box if the adverse event has not
resolved at the time of data collection; leave the End Date blank.";"This field will be completed to indicate that
the AE has not resolved at the time of data collection. Upon study completion, it is
expected that every reported AE should
have either an End Date or the Ongoing field will be completed, but not both.
The purpose of collecting this field is to help with data cleaning and monitoring, since this field provides further confirmation that the End Date was
deliberately left blank. The field is a special use case of “Yes/No,” containing “Yes” if
the box is checked and “No” if the box is blank and an end date is present.
This is not a direct mapping to the SDTMIG variable AEENRF. The date of data collection in conjunction with End Date and the Ongoing CDASH fields would
determine how the SDTMIG variable
AEENRF will be populated.
In some cases this information may be determined from AE Outcome.";Optional;NY;C66742
AE;10;Serious Event;AESER;"Indicates whether or not the adverse
event is determined to be “serious”
based on what is defined in the protocol.
Is the Adverse Event serious?
{NY} ";"Assess if an adverse event should be
classified as serious based on the “serious”
criteria defined in the protocol.";"This field is related to the individual serious
adverse event type fields, which may or may not be reported on the CRF.";"Highly
Recommended";NY;C66742
