Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C66767;;No;Action Taken with Study Treatment;ACN;ACN;Action Taken with Study Treatment;Action Taken with Study Treatment;CDISC SDTM Action Taken with Study Treatment Terminology;
C49503;C66767;;Action Taken with Study Treatment;DOSE INCREASED;DOSE INCREASED;;"An indication that a medication schedule was modified by addition; either by changing the frequency, strength or amount. (NCI)";Dose Increased;
C49504;C66767;;Action Taken with Study Treatment;DOSE NOT CHANGED;DOSE NOT CHANGED;;An indication that a medication schedule was maintained. (NCI);Dose Not Changed;
C49505;C66767;;Action Taken with Study Treatment;DOSE REDUCED;DOSE REDUCED;;An indication that a medication schedule was modified by subtraction, either by changing the frequency, strength or amount. (NCI);Dose Reduced;
C49501;C66767;;Action Taken with Study Treatment;DRUG INTERRUPTED;DRUG INTERRUPTED;;An indication that a medication schedule was modified by temporarily terminating a prescribed regimen of medication. (NCI);Drug Interrupted;
C49502;C66767;;Action Taken with Study Treatment;DRUG WITHDRAWN;DRUG WITHDRAWN;;An indication that a medication schedule was modified through termination of a prescribed regimen of medication. (NCI);Drug Withdrawn;
C48660;C66767;;Action Taken with Study Treatment;NOT APPLICABLE;NOT APPLICABLE;NA;Determination of a value is not relevant in the current context. (NCI);Not Applicable;
C17998;C66767;;Action Taken with Study Treatment;UNKNOWN;UNKNOWN;"U; Unknown";Not known, not observed, not recorded, or refused. (NCI);Unknown;
C66768;;No;Outcome of Event;OUT;OUT;Outcome of Event;A condition or event that is attributed to the adverse event and is the result or conclusion of the adverse event. (NCI);CDISC SDTM Adverse Event Outcome Terminology;
C48275;C66768;;Outcome of Event;FATAL;FATAL;"Grade 5; 5";The termination of life as a result of an adverse event. (NCI);Death Related to Adverse Event;
C49494;C66768;;Outcome of Event;NOT RECOVERED/NOT RESOLVED;NOT RECOVERED/NOT RESOLVED;;One of the possible results of an adverse event outcome that indicates that the event has not improved or recuperated. (NCI);Not Recovered or Not Resolved;
C49498;C66768;;Outcome of Event;RECOVERED/RESOLVED;RECOVERED/RESOLVED;;One of the possible results of an adverse event outcome that indicates that the event has improved or recuperated. (NCI);Recovered or Resolved;
C49495;C66768;;Outcome of Event;RECOVERED/RESOLVED WITH SEQUELAE;RECOVERED/RESOLVED WITH SEQUELAE;;One of the possible results of an adverse event outcome where the subject recuperated but retained pathological conditions resulting from the prior disease or injury. (NCI);Recovered or Resolved with Sequelae;
C49496;C66768;;Outcome of Event;RECOVERING/RESOLVING;RECOVERING/RESOLVING;;One of the possible results of an adverse event outcome that indicates that the event is improving. (NCI);Recovering or Resolving;
C17998;C66768;;Outcome of Event;UNKNOWN;UNKNOWN;"U; Unknown";Not known, not observed, not recorded, or refused. (NCI);Unknown;
C66780;;Yes;Age Span;AGESPAN;AGESPAN;Age Span;Subgroups of populations based on age. (NCI);CDISC SDTM Age Group Terminology;
C27954;C66780;;Age Span;ADOLESCENT (12-17 YEARS);ADOLESCENT (12-17 YEARS);;"A juvenile between the onset of puberty and maturity; in the state of development between puberty and maturity. (NCI)";Adolescent;
C49685;C66780;;Age Span;ADULT (18-65);ADULT (18-65);;A person from 18 years to 65 years of age. (NCI);Adult 18-65 Years Old;
C49683;C66780;;Age Span;CHILDREN (2-11 YEARS);CHILDREN (2-11 YEARS);;A person from 2 years to 11 years of age. (NCI);Children 2-11 Years Old;
C16268;C66780;;Age Span;ELDERLY (> 65);ELDERLY (> 65);;An age group comprised by people 65 years of age and older. (NCI);Elderly;
